index,cat,trash
1,I've touched a cat's feet. It was so soft.,Sometimes people throw away what they need. They don't know the reason.
2,This cat looks so relaxed.,"If someone figures out someday that something useless can be used, they will regret throwing it away."
3,I haven't seen this cat open its eyes.,The trash has to be thrown in not the street but the trash can.
4,This cat's fur looks so clean. I think they was hard at cleaning themself.,The recyclable waste can be reform and used.
5,This cat looks dozing.,The trash can doesn't look strong.
6,This cat's toes are moving. I think they might be itchy..,"Because of the rain, the trash can doesn't look dirty."
7,This cat looks satisfied.,"If I do volunteer work, I can work on picking up trash. I want to do it someday."
8,This cat is gently wagging its tail.,The wet trash looks like it has no energy. Does the trash know itself that it is useless now?
9,"Sometimes, this cat is purring.",(The plastic bags are flying away because of the wind)
10,This cat's ears are moving. It seems that they like listening to the sound of rain.,How much trash is being discharged? There are probably unimaginably many.
11,Meow... I just wanted to say it.,I feel like drops of water that hit the trash can are splashing on me.
12,There was a time when a cat sat on my lap. It was warmer than I thought.,(The waste paper is rolling away because of the wind)
13,I want to play throwing and catching with the cat. But they don't look interesting.,If I pick up all the waste paper ...hmm.
14,This cat is trying to stay out of the rain there.,It's good to have a habit of not throwing away trash anywhere.
15,This cat's nose is moving. I think they might be smelling the smell of rain...,Will the day when the trash decrease will come?
16,The cat stretched now.,Will the day when the trash decrease will come?
17,This cat cries sometimes.,blank
18,I wonder where this cat's house is. Maybe they think a house is here.,blank
19,"This cat cried, saying ""Meow"".",blank
20,I'm jealous to see this cat relaxed.,blank
21,I wonder what is it thinking about.,blank
