index,book,wall,light,window,seed,picture,clock,turtle
1,These are the flyers attached to the door. I just collected it to see.,I think the water leaking in the ceiling.,The light bulb is broken and is blinking so my eyes hurt. I'm worried about it.,The rain's coming into the room because of the broken window. So it's cold.,I bought the seed but I don't know how to do it..,This picture looks gloomy.,The clock was cracked.,This turtle looks lonely.
2,It's newspapers from a few months ago. I read it so many times that I memorized it.,"After repairing it, the water doesn't leak anymore. But I think the wallpaper is a bit boring.",I'm glad to fix it but it still won't turn on. What could be the problem?,Newspapers attached to the window are gone when it blows.,I picked up the styrofoam outside. So I put in soil and gave it some water.,Where do they go?,I fixed it and changed it with a rectangle. It's not bad.,It bit my foot last time.
3,I went to a secondhand bookstore and bought a torn magazine. There's a trend from a year ago.,"Even if you can't see the ceiling, I changed it too. I feel like it looks pretty clean.","The lights are on completely now. Thanks to this, I can see the bugs on the floor well.","I fixed it with tape, but every time a car went past in front of my home, the windows rattled.",I picked up the wooden box in the river. It's a little damp but it will be durable ..Maybe.,They look like they found something.,The circle shape is good as expected.,This turtle can go home anytime. I'm jealous it.
4,I've seen a biography. Can I be such a great person?,blank,I bought a new one in the city.,"I changed it to the steady window, so I can relax now.",The wooden box is too big so I made it again by cutting the plastic bottle. I wonder when it will grow up.,Something inside. What is it?,How old is the tree when the clock is made?,It moves well by itself.
5,"Looking at the cookbook, I thought there are various foods in the world. I want to try it.",blank,I changed it in black color. I think it's cool.,I bought stickers at the stationery store for a change. I attached it to the window and I think it's good.,I feel like a carton of milk is good because it is stable. Don't worry. It does not smell. And I like chocolate milk.,They are waiting for something slowly.,The clock looks better because the little pattern is on it.,(The turtle walks slowly.)
6,"I read a fairy tale book, but I remember seeing it when I was child. The main character always has a happy ending..",blank,It's much better than before. I like it.,I attached more stickers. Hmm.. I think it's cool.,I found a glass at home that I don't use. I'd like to treat someone to a glass of water. But no one's coming here except for you...,The flower is blooming. I think they're surprised.,blank,This turtle looks lonely.
7,I bought a humor book for the joy. It was little fun.,blank,blank,I hung curtains on a window because I didn't know when the sunlight would come in. It's good to see when it's blown by the wind.,I think flowers are the most beautiful when they are in a vase as expected. I'm a little looking forward to what kind of flowers will bloom.,Do they greet each other? They reach out their hand.,blank,It bit my foot last time.
8,I decided to buy all the comic book series. I want it to be serialized again.,blank,blank,I changed the color of the curtain to be brighter because of the dull color. It's good to see now.,It's growing day by day. And it'll bloom soon. I hope that the clouds in my mind will clear and flowers will bloom in my mind.,What kind of thinking do they think when they smell the flower?,blank,This turtle can go home anytime. I'm jealous it.
9,The scene where the main character meets his parents again in the novel was really touching.,blank,blank,The pattern on the curtains makes the room look lively. It's good that I can change the color too.,"I have been a steady interest in it. I never thought of flowers blooming in this weather. But we watered it day by day and it grew little by little. Thanks to you, I could see beautiful flowers..","In the end, I think they became friends with the flower.",blank,It moves well by itself.
10,I'm glad I don't need to put books on the floor anymore because I have a bookcase.,blank,blank,blank,blank,blank,blank,(The turtle walks slowly.)
